,Unnamed: 0,date,qdpj,meidi,xpp,hksw,hryy,Rqdpj,Rmeidi,Rxpp,Rhksw,Rhryy
23,23,20210331,84.64,82.23,21.14,15.15,92.09,0.009973960621952216,-0.0029143918624603415,-0.0004729250501949167,0.009950330853168321,-0.016264023750270695
24,24,20210330,83.8,82.47,21.15,15.0,93.6,0.0,0.012199736522713778,-0.015482364148377226,-0.006644542718668767,0.03334909599619795
25,25,20210329,83.8,81.47,21.48,15.1,90.53,0.02782998724121999,-0.0066063367257696015,0.014537184493890187,0.009314771274547606,-0.007592883796205818
26,26,20210326,81.5,82.01,21.17,14.96,91.22,0.01920158096685398,0.01635047796230893,0.010923879704382689,0.00872781639649034,0.044725862838427055
27,27,20210325,79.95,80.68,20.94,14.83,87.23,0.012586698578311406,-0.01231846077039922,-0.013754070272773866,-0.004037690546076611,0.008172707360269094
28,28,20210324,78.95,81.68,21.23,14.89,86.52,-0.010708763754111672,0.0025743195338598923,0.027215812023672292,-0.00669346541858884,-0.01297601028238482
29,29,20210323,79.8,81.47,20.66,14.99,87.65,0.012483612090204765,-0.023173618130099882,0.017578577643750926,-0.0033300064071872804,-0.005234422511395387
30,30,20210322,78.81,83.38,20.3,15.04,88.11,-0.011480602979035304,-0.022883208467952443,0.004443354632211793,0.01271345327298512,0.0006811989364230442
31,31,20210319,79.72,85.31,20.21,14.85,88.05,-0.012837466758171878,-0.016277536468465748,-0.011805351073280956,0.006079046076381989,-0.013088305983476545
32,32,20210318,80.75,86.71,20.45,14.76,89.21,0.0320883145515003,0.030919432241863554,-0.004391322011601417,-0.006752220117286711,0.006635575154348317
33,33,20210317,78.2,84.07,20.54,14.86,88.62,0.03965047300600055,0.017882264689260907,0.012246050662688912,0.00878680881507421,-0.006411359906771885
34,34,20210316,75.16,82.58,20.29,14.73,89.19,0.013933773128105287,0.003396412774920421,0.00841380860618468,0.0,-0.004474780931371214
35,35,20210315,74.12,82.3,20.12,14.73,89.59,-0.038120020436524626,-0.04351096409128541,0.005982071677547829,0.011608187705999029,-0.02860795820101636
36,36,20210312,77.0,85.96,20.0,14.56,92.19,-0.01878351892772212,0.00011633994545068305,-0.023228126119207104,-0.0013726838119723084,-0.01389584486015405
37,37,20210311,78.46,85.95,20.47,14.58,93.48,0.04843972851061018,0.027004765814806042,0.013277795266038783,0.007573185937119753,0.0008561644358602294
38,38,20210310,74.75,83.66,20.2,14.47,93.4,-0.0036055323829451424,0.02016367740596614,0.006456441598912566,-0.04394083010799443,0.017496936268109664
39,39,20210309,75.02,81.99,20.07,15.12,91.78,-0.01481900630060995,-0.04191908733462846,-0.012379459902034373,-0.0382790815161429,-0.0036976659857970162
40,40,20210308,76.14,85.5,20.32,15.71,92.12,-0.009932125557247318,-0.045722249338094656,-0.006866137813199558,-0.002542913004112357,-0.08507362001540564
41,41,20210305,76.9,89.5,20.46,15.75,100.3,0.012167350996468151,-0.004459316196765428,0.011305109343826558,0.005092308903712706,-0.001992032531240362
42,42,20210304,75.97,89.9,20.23,15.67,100.5,-0.035304629908226914,-0.039156537225649046,-0.015207553320758294,-0.0025493958996003485,-0.008422145398879088
43,43,20210303,78.7,93.49,20.54,15.71,101.35,0.008037295291157598,-0.0003208384605892789,0.0073296199140484575,0.0006367399132676255,0.03004732806294097
44,44,20210302,78.07,93.52,20.39,15.7,98.35,-0.014244168090121079,0.0020337175861575574,-0.01508911568495952,-0.004448688620684926,-0.019732846060325215
45,45,20210301,79.19,93.33,20.7,15.77,100.31,-0.005540878047032294,0.0026822611435646238,0.04192969313812389,0.007638483988785083,-0.014744713221028327
46,46,20210226,79.63,93.08,19.85,15.65,101.8,-0.0278638545237353,-0.00919694216475797,-0.0040221270915039575,0.005767398235916321,0.00739466026679203
47,47,20210225,81.88,93.94,19.93,15.56,101.05,-0.02888982814290042,-0.011431115159926009,-0.03742435753274842,-0.010230268250814856,0.013449766881837633
48,48,20210224,84.28,95.02,20.69,15.72,99.7,-0.03405974197894501,0.04388744736191086,0.005816788092586123,-0.0069730868918602695,-0.009980122756724441
49,49,20210223,87.2,90.94,20.57,15.83,100.7,-0.02267670867103,0.005513300987095349,-0.047933256165122895,-0.020013175775744685,0.00687561873609166
50,50,20210222,89.2,90.44,21.58,16.15,100.01,-0.019978466930886007,-0.0801787852379583,-0.05762169853667576,0.004343785917845455,-0.05021281887325557
51,51,20210219,91.0,97.99,22.86,16.08,105.16,-0.010167911358813342,-0.003158594505393353,0.04977490083197145,0.01819943548326952,0.0024754844594294667
52,52,20210218,91.93,98.3,21.75,15.79,104.9,-0.041026477038800024,-0.08583231662341806,-0.015963850989014094,-0.003792672055738855,-0.04017354790855343
